ASV_ID	OW_501_4Bottom	OW_REV_C1Bottom	OW_VW_C2Bottom	Station18	Station63	Station69
08bd987bd944513cc896ab3b3c3eed38	1338	0	6021	0	0	0
0af1b78539821a4e5d01d9e3f0a4431d	0	0	479	0	0	0
0c345c9a2aa92abab556aa04441cf718	0	0	0	1632	0	0
0c98f1ec78d51bf8d5d04f3590d673e9	0	0	0	0	272	660
0d61d4b7de48593109f5d112ed91948a	0	0	0	0	0	155
115ec1af0b32638884e112bfa1586611	24	0	0	0	0	0
1186c621e048e637a49024762b3750e7	0	0	0	7576	1129	8
14f5a1d4993cbbaac9426a2ccb964d26	0	0	291	0	0	0
247d1f166656cbbaaeee912195290ae2	0	0	1183	0	0	0
272b952bfc6e84de3e33447c805a19ae	0	0	0	0	173	0
282aac0ec13fc675ac82d31f2b3e70e9	34	0	0	0	0	0
28e394867578f85b7855d2f9e4df951b	749	4	14	158	25974	16879
2a52f7d018e355b8ac6752d8dfb7eee6	0	0	0	0	81	0
2c9521bc9659f75133d08270bc0050e0	0	0	1424	0	0	0
2d0506c060ee125f6608b52f22e598b1	0	11	0	0	0	0
307c55294ffe3b8aa46fce358d55590e	0	0	0	72	156	0
30a623f128fb722f5fc16dbb86582d53	0	0	0	0	167	0
328c47e95c8b6a4e6e3c7a3700045d71	0	301	0	0	0	0
3c506a1e3e37182931687be18414a6a3	0	0	0	0	1145	0
3d31352a264c791e0b7998150b37350a	0	0	0	0	5	0
4c5905c5ab539613d9c3069d0ae54188	0	0	0	0	0	1665
4db280926cca07cc86b0e098513d9cc0	0	0	0	0	192	0
4feb4cae27c142cc61d49716415710bb	0	0	0	0	2502	0
505c903a58abea5138d3d0b6df05e746	0	0	273	0	0	0
57e83a29cfecdba4509d02c3e9d610a3	5559	0	841	36435	792	0
5d6bb2fed75f92f01e645ffc80d17d36	0	0	0	0	0	1610
5e733a21f67e541f28ed4bf4fe025044	0	0	0	0	70	0
5fdb93bb9fb86c6d1332c023c15fd63d	0	0	0	145	0	0
61432c8c6352f55f3267244221ae77ae	0	0	0	0	17	0
641bcfcf840a10f05ff148673284c4bb	0	0	955	0	0	0
680475954df3011ebba1033f1b2f2a86	0	0	0	0	359	0
6a9c2d5770b6e78ca3450f62d67b08fc	19833	50402	19956	18	4179	0
7950b1078efc076defba9c936b970ef7	0	0	0	0	10	0
7ec4dbc3399f639d994fdc65a1b6810e	0	0	1383	0	0	0
80b85e59cacd34b78608c1ae7eef2c61	0	4926	0	0	0	0
8726f0690748a0d7318c782029077e62	0	0	0	0	8	0
8961e2d14d8b0510763256de80a000a2	0	0	0	2203	0	0
90781ed131f662c3e5517f2b027624ba	539	0	741	0	0	0
975b1dbdc7405f6e27bf63893e91e0ed	0	0	0	0	70	0
97f21bce91e9ef9f2fb711a011b1a9aa	0	0	330	0	0	0
9e675ac5875629aa62e1afaedb00fbb9	0	0	0	0	122	0
9e985443e4cd6cdec8bd0d1d325c53d9	1148	1	3286	1261	1025	11
9f2355fd161fec0177a83045e771a239	0	0	0	0	105	0
a3f747ef5c8d9003b5743035e78afcee	0	0	0	223	0	0
a4bfec56d00b2741e09bd9ec98bd80ae	0	0	0	0	0	31853
a504d3d01c9cb7ff29e5fe2fa139d5ea	0	0	0	0	539	0
a9eda054f583e2a3bc9e14961cd6befc	0	0	0	0	0	239
b4f42eade7a87f2cd8f3968640d83f97	1478	0	0	93	1318	0
b98d245c042075fa94c4a01ffd4f9db8	1656	3	4826	1715	793	34
bcbd43d985c17b122ecef7c3c46ae4d1	0	0	0	126	2035	3
be673ad467ff44bc0abd3bb295454550	0	0	1576	4	932	0
bf509309733cfe62da0a2970c467cff2	0	0	0	0	7324	2769
c030ecad0cd0504068af5f150dc7b103	0	0	0	318	0	0
c0a3f3ed23f04247d92740a9502f8b57	0	0	0	0	228	0
c9bb5d5fc530c1dca2f73a53bb77141c	0	0	0	5571	202	0
cd9222c2008ba64f46a02935a6289518	0	0	78	0	0	0
d26fe7b35e96761f43efea7dd9e9d99f	0	0	1023	0	0	0
de8339905c2655847248b3084379b474	0	0	0	56	0	0
df263dae379496c7e522db8a7dbc01c9	0	0	0	75	0	0
e7240a28d05a52722a7570029c9a880b	0	0	0	0	460	0
ea364c182199815b78fc2630a9b4d6be	3786	5769	1725	518	1343	11916
ed00c11476e9a07d3441cb0a1073d3ab	0	0	0	0	658	0
f330e9fc8ac0b4fa01bf42c732e0c211	0	0	0	0	96	2911
f392b65ac61ca907edf915aa1ad3b6c6	0	0	0	0	3	0
fe4a925833d96a18c2fdeac0dd07904e	0	0	0	0	47	0
