Sample,% Dups,% GC,M Seqs
SBNMS-FS-0001_S274_L001_R1_001,98.79887778,41,0.05703
SBNMS-FS-0001_S274_L001_R2_001,98.34648431,41,0.05703
SBNMS-FS-0002_S275_L001_R1_001,98.99843806,46,0.072986
SBNMS-FS-0002_S275_L001_R2_001,98.56684844,46,0.072986
SBNMS-FS-0003_S276_L001_R1_001,98.98535286,47,0.03755
SBNMS-FS-0003_S276_L001_R2_001,98.64447403,47,0.03755
SBNMS-FS-0004_S277_L001_R1_001,97.94800227,44,0.058041
SBNMS-FS-0004_S277_L001_R2_001,97.85324167,45,0.058041
SBNMS-FS-0005_S278_L001_R1_001,98.35212603,49,0.075916
SBNMS-FS-0005_S278_L001_R2_001,98.23620844,49,0.075916
SBNMS-FS-0006_S279_L001_R1_001,98.71460659,47,0.060993
SBNMS-FS-0006_S279_L001_R2_001,98.43096749,48,0.060993
SBNMS-FS-0007_S280_L001_R2_001,98.99826426,46,0.088147
SBNMS-FS-0008_S281_L001_R1_001,98.11292578,47,0.073659
SBNMS-FS-0008_S281_L001_R2_001,98.10070731,48,0.073659
SBNMS-FS-0009_S282_L001_R1_001,97.93935579,48,0.047655
SBNMS-FS-0010_S283_L001_R1_001,98.59946245,48,0.061762
SBNMS-FS-0010_S283_L001_R2_001,98.28535345,48,0.061762
SBNMS-FS-0011_S284_L001_R1_001,98.75599244,47,0.173552
SBNMS-FS-0011_S284_L001_R2_001,98.84069328,47,0.173552
SBNMS-FS-0012_S285_L001_R1_001,98.55092165,48,0.073564
SBNMS-FS-0012_S285_L001_R2_001,98.50470339,48,0.073564
SBNMS-FS-0013_S286_L001_R1_001,98.2043389,50,0.054576
SBNMS-FS-0013_S286_L001_R2_001,97.95880973,50,0.054576
SBNMS-FS-0014_S287_L001_R1_001,96.74753801,49,0.026503
SBNMS-FS-0014_S287_L001_R2_001,96.40418066,49,0.026503
SBNMS-FS-0015_S288_L001_R1_001,98.69940738,50,0.069353
SBNMS-FS-0015_S288_L001_R2_001,98.49465777,50,0.069353
SBNMS-FS-0016_S289_L001_R1_001,98.92775683,49,0.127583
SBNMS-FS-0016_S289_L001_R2_001,98.55936919,49,0.127583
SBNMS-FS-0017_S290_L001_R1_001,98.23130869,48,0.042065
SBNMS-FS-0017_S290_L001_R2_001,98.08154047,48,0.042065
SBNMS-FS-0018_S291_L001_R2_001,98.33536576,46,0.068063
SBNMS-FS-0020_S293_L001_R1_001,98.27277495,49,0.055291
SBNMS-FS-0020_S293_L001_R2_001,98.05393283,50,0.055291
SBNMS-FS-0021_S294_L001_R1_001,98.19379757,48,0.035212
SBNMS-FS-0021_S294_L001_R2_001,97.87856413,48,0.035212
SBNMS-FS-0022_S295_L001_R1_001,98.31802542,48,0.070334
SBNMS-FS-0022_S295_L001_R2_001,98.16731595,48,0.070334
SBNMS-FS-0023_S296_L001_R1_001,98.52493951,46,0.090098
SBNMS-FS-0023_S296_L001_R2_001,98.3451353,46,0.090098
SBNMS-FS-0024_S297_L001_R1_001,99.0300734,48,0.088151
SBNMS-FS-0025_S298_L001_R1_001,98.14617028,48,0.052432
SBNMS-FS-0025_S298_L001_R2_001,98.07369545,48,0.052432
SBNMS-FS-0027_S299_L001_R2_001,97.60614475,49,0.044656
SBNMS-FS-0028_S300_L001_R1_001,99.09052246,47,0.122268
SBNMS-FS-0028_S300_L001_R2_001,98.88032846,47,0.122268
SBNMS-FS-0029_S301_L001_R1_001,97.99387257,48,0.115546
SBNMS-FS-0029_S301_L001_R2_001,98.1098437,48,0.115546
SBNMS-FS-0030_S302_L001_R1_001,97.18040269,47,0.027167
SBNMS-FS-0030_S302_L001_R2_001,97.00371775,47,0.027167
SBNMS-FS-0031_S303_L001_R1_001,98.65363356,52,0.085935
SBNMS-FS-0031_S303_L001_R2_001,98.41159016,52,0.085935
SBNMS-FS-0034_S304_L001_R1_001,98.29456061,49,0.083263
SBNMS-FS-0035_S305_L001_R1_001,98.67403631,51,0.104754
SBNMS-FS-0035_S305_L001_R2_001,98.49743208,52,0.104754
SBNMS-FS-0037_S306_L001_R1_001,98.01350503,48,0.038208
SBNMS-FS-0037_S306_L001_R2_001,97.99780151,48,0.038208
SBNMS-FS-0040_S307_L001_R1_001,98.18887451,46,0.065705
SBNMS-FS-0040_S307_L001_R2_001,98.11582071,46,0.065705
SBNMS-FS-0042_S308_L001_R1_001,97.51277683,50,0.032285
SBNMS-FS-0042_S308_L001_R2_001,97.21542512,50,0.032285
SBNMS-FS-0044_S309_L001_R1_001,98.82245882,47,0.054945
SBNMS-FS-0044_S309_L001_R2_001,98.38929839,47,0.054945
SBNMS-FS-0045_S310_L001_R1_001,97.31951982,50,0.030405
SBNMS-FS-0045_S310_L001_R2_001,96.90840322,50,0.030405
SBNMS-FS-0048_S311_L001_R1_001,98.61932939,51,0.081627
SBNMS-FS-0048_S311_L001_R2_001,98.30570767,51,0.081627
SBNMS-FS-0049_S312_L001_R1_001,98.12372316,48,0.055802
SBNMS-FS-0049_S312_L001_R2_001,97.83520304,48,0.055802
